,0
0, narrate  documentary  narrator  hear  say  cuz  talk 
1, KEYWORD  daughter  garlic  immune  system  keep  pest  away  KEYWORD  mosquito  vampire  men 
2, go  really  rough  period  work  week  fault  swap  KEYWORD  sand  paper 
3, dinner  KEYWORD  choose  KEYWORD  KEYWORD  KEYWORD 
4, guy  walk  bar  guy  duck 
5, KEYWORD  get  pregnant  KEYWORD  come  box  KEYWORD 
6, musician  arrest  get 
7, KEYWORD  hear  guy  blew  lottery  winning  limousine  nothing  left  chauffeur 
8, bird  shit  car  KEYWORD  ask 
9, gentleman  always  open  KEYWORD  door 
10, KEYWORD  KEYWORD  date  louse  closer  get  KEYWORD  way  parent 
11, criticize  KEYWORD  KEYWORD  KEYWORD  KEYWORD  KEYWORD  mile  shoe 
12, difference  KEYWORD  KEYWORD  make  steal  job 
13, call  barbarian  see  KEYWORD 
14, spell  KEYWORD  eh  KEYWORD  eh  KEYWORD  eh 
15, ever  notice  thing  KEYWORD  get  caught 
16, KEYWORD  KEYWORD  say  abortion  clinic  KEYWORD  vista  baby 
17, wife  mood  think  KEYWORD  forgot  anniversary  KEYWORD  go  dude  KEYWORD  suffer 
18, speech  today  mini  skirt  KEYWORD  enough  cover  essential  enough  hold  attention 
19, KEYWORD  joke  KEYWORD  KEYWORD  eat  KEYWORD  KEYWORD  KEYWORD  kid  KEYWORD  KEYWORD  drug  KEYWORD  KEYWORD  KEYWORD 
20, never  see  elephant  hiding  tree  KEYWORD  freak 
21, blonde  die  rake  leaf  fell  tree 
22, guy  douche  bag  KEYWORD  KEYWORD  fix  woman 
23, son  get  tattoo  heart  spade  club  diamond  permission  guess  deal  later 
24, call  potato  space  KEYWORD 
25, get  cop  attention 
26, KEYWORD  KEYWORD  death  KEYWORD 
27, chicken  hold  seance  get  side 
28, baby  cow  go  eat  lunch  calf  KEYWORD 
29, difference  painting  KEYWORD  require  nail  put  painting 
30, KEYWORD  KEYWORD  want  KEYWORD  KEYWORD  KEYWORD  give  brother  KEYWORD  want 
31, fit  gay  KEYWORD  KEYWORD 
32, look  forward  pm  KEYWORD  KEYWORD  KEYWORD  open  door  sale  trample  human  corps 
33, KEYWORD  barium  copper  oxide  walk  bar  bartender  tell  serve  KEYWORD  leaf  resistance 
34, guy  pick  woman  KEYWORD  put 
35, night  take  single  wallet  spread  bed  pretend  pretty  day 
36, gospel  KEYWORD  KEYWORD  shade  number  KEYWORD  hue 
37, KEYWORD  favorite  headache  medicine  also  sound  KEYWORD  professor 
38, KEYWORD  KEYWORD  get  elect 
39, destroy  wasp  capture  wasp  tell  plan 
40, KEYWORD  KEYWORD  favorite  football  team  KEYWORD  KEYWORD  jet 
41, KEYWORD  want  work  KEYWORD  crumb  tumble  mouth  walk  saw  KEYWORD 
42, KEYWORD  valentine  day  KEYWORD  shade  grey  dry  seat  cinema 
43, KEYWORD  hear  midget  escape  prison  medium 
44, KEYWORD  KEYWORD  click  button  KEYWORD  KEYWORD  KEYWORD  KEYWORD  joke 
45, difference  car  tyre  KEYWORD  KEYWORD  year 
46, KEYWORD  KEYWORD  blue  gun  KEYWORD  van 
47, struggle  year  influence  never  get 
48, KEYWORD  stay  touch  people  otherwise  never  talk  awful  thing 
49, difference  blonde  washer  dump  load  washer  follow  week 
50, KEYWORD  ever  heard  movie  KEYWORD  never  come 
51, blue  look  well  KEYWORD  KEYWORD 
52, saw  rifle  KEYWORD  today  never  fire  heard  drop 
53, car  say  valet  lot 
54, KEYWORD  KEYWORD  man  world  sex  know  hate  sex 
55, yeah  girl  shake  thing  poop  come  really  turn  poop  factory  shake  KEYWORD 
56, stand  people  say  hate  candidate  KEYWORD  KEYWORD 
57, fireman  twin  boy  name  KEYWORD  KEYWORD  KEYWORD 
58, drinking  bar  take  bus  home  deal  never  driven  bus 
59, KEYWORD  KEYWORD  ban  sale  shred  cheese  want  make  KEYWORD  grate 
60, KEYWORD  really  turn  name  penis  testicle  KEYWORD  KEYWORD  KEYWORD 
61, sex  face  first  pee  hour  face 
62, cat  walk  carry  toy  mouse  remember  buying  KEYWORD  shoppin 
63, KEYWORD  owner  cross  road  KEYWORD  mom 
64, KEYWORD  check  amount  KEYWORD  people  humorist  KEYWORD  person  KEYWORD 
65, believe  KEYWORD  never  believe  crowd  ballet  recital  always  see  seat 
66, porn  actress  say  open  door  KEYWORD  sure  come  upstairs 
67, judge  people  base  color  race  religion  sexuality  gender  base  KEYWORD 
68, baker  hand  brown  knead  poo 
69, KEYWORD  get  chemistry  say  alcohol  KEYWORD  solution  KEYWORD  win 
70, often  think  take  path  life  lie  slightly  sofa  right 
71, tell  joke  always  punch  KEYWORD  line 
72, KEYWORD  say  sister  ask  sex  incest 
73, know  need  spoon  take  care  KEYWORD  invent  shovel 
74, keep  fly  bride  wedding  KEYWORD  bucket  shit 
75, grandparent  smell  KEYWORD 
76, hearing  loss  result  sit  restaurant  table  woman  receive  dessert 
77, people  KEYWORD  news  joke 
78, slave  coffee  KEYWORD  KEYWORD 
79, KEYWORD  fell  ft  tall  ladder  KEYWORD  holy  cow  survive  KEYWORD  fell  bottom  rung 
80, call  blind  dinosaur  think  saurus  KEYWORD  call  blind  dinosaur  dog  think  saurus  rex 
81, bought  pet  newt 
82, KEYWORD  opinion  believe  cut  KEYWORD  tree  intend  eat 
83, KEYWORD  KEYWORD  KEYWORD  bit  KEYWORD  KEYWORD  KEYWORD  pretty  sure  get  backwards 
84, KEYWORD  year  KEYWORD  KEYWORD  still  get  jean 
85, degree  men  study  call  world  history  KEYWORD  KEYWORD  KEYWORD  KEYWORD  KEYWORD  KEYWORD 
86, fan  first  episode  KEYWORD  pretty  gay  KEYWORD 
87, ex  wife  still  miss  aim  gettin  well 
88, doctor  KEYWORD  eat  KEYWORD  eat  slice  bread  ok  cool  bread 
89, call  humped  camel  KEYWORD  kid  work 
90, KEYWORD  say  KEYWORD  stuck  cunt 
91, call  KEYWORD  KEYWORD  leg  transplant  hip  hop  hip  op 
92, KEYWORD  law  gravity  KEYWORD  heavier  pick 
93, KEYWORD  woman  mouth  KEYWORD  leg 
94, KEYWORD  na  hear  pun  long  hair  KEYWORD 
95, piss  punch  ba  KEYWORD  KEYWORD  KEYWORD  KEYWORD  saw  shotgun  hand  KEYWORD  KEYWORD  KEYWORD 
96, difference  KEYWORD  KEYWORD  KEYWORD  KEYWORD  hair 
97, doctor  put  medication  suppose  help  amount  KEYWORD  blood 
98, KEYWORD  KEYWORD  KEYWORD  make  sure  put  toilet  seat  KEYWORD  okay  KEYWORD  toilet  seat  worthless  nobody  like 
99, KEYWORD  difference  blonde  KEYWORD  trolley  KEYWORD  trolley  mind 
